County Name,Climate Biome(s),CDPH Climate Impact Regions,Modeled Historical Baseline 1950-1999 (1975) Annual Avg Precip (in),2020-2029 (2025) Annual Avg Precip (in),2020-2029 (2025) Difference from Baseline (in),2030-2039 (2035) Annual Avg Precip (in),2030-2039 (2035) Difference from Baseline (in),2040-2049 (2045) Annual Avg Precip (in),2040-2049 (2045) Difference from Baseline (in),2050-2059 (2055) Annual Avg Precip (in),2050-2059 (2055) Difference from Baseline (in),Storm Threshold (in),Modeled Historical Baseline 1950-1999 (1975) Storm Events (per yr),2020-2029 (2025) Storm Events (per yr),2030-2039 (2035) Storm Events (per yr),2040-2049 (2045) Storm Events (per yr),2050-2059 (2055) Storm Events (per yr)
Alameda,"Urban, Coastal, Grassland",Bay Area,18.2,22.5,4.3,19.2,1.0,20.1,1.9,17.9,0.3,0.83,3,4,3,4,2
Alpine,"Mountain, Forest",Southeast Sierra,47.9,51.2,3.3,49.4,1.5,49.5,1.6,48.2,0.3,1.94,3,4,2,3,2
Amador,"Forest, Grassland",North Sierra,36.9,38.7,1.8,37.8,0.9,37.4,0.5,35.5,1.4,1.71,2,1,1,2,1
Butte,"Forest, Grassland, Urban",Northern Central Valley,43.5,46.6,3.1,45.5,2.0,44.9,1.4,45.5,2.0,1.76,3,3,3,3,3
Calaveras,"Forest, Grassland",North Sierra,34.7,36.8,2.1,35.4,0.7,35.4,0.7,32.8,1.9,1.64,2,1,1,2,1
Colusa,"Ag. Lands, Grassland",Northern Central Valley,22.3,26.4,4.1,22.9,0.6,24.1,1.8,23.2,0.9,1.36,1,2,1,2,1
Contra Costa,"Urban, Coastal, Grassland",Bay Area,19.0,22.5,3.5,19.2,0.2,20.4,1.4,18.3,0.7,1.03,2,2,2,2,1
Del Norte,"Coastal, Forest",North,101.3,94.8,6.5,108.2,6.9,99.9,1.4,105.0,3.7,3.33,2,1,3,2,2
El Dorado,"Forest, Mountain",North Sierra,45.0,46.7,1.7,46.6,1.6,45.0,0.0,44.5,0.5,1.83,2,2,2,3,1
Fresno,"Ag. Lands, Mountain, Grassland",Southern Central Valley,21.9,26.2,4.3,22.1,0.2,23.1,1.2,20.6,1.3,1.07,2,4,2,4,2
Glenn,"Ag. Lands, Grassland",Northern Central Valley,25.8,30.0,4.2,25.9,0.1,27.3,1.5,27.1,1.3,1.29,2,2,1,2,2
Humboldt,"Coastal, Forest",North,74.5,74.2,0.3,78.7,4.2,74.3,0.2,78.5,4.0,2.62,2,2,2,2,3
Imperial,"Desert, Ag. Lands",Desert,3.2,3.1,0.1,3.2,0.0,3.3,0.1,2.9,0.3,0.14,6,6,6,7,5
Inyo,"Desert, Mountain",Southeast Sierra,7.9,9.5,1.6,8.4,0.5,9.1,1.2,8.6,0.7,0.31,5,8,6,7,5
Kern,"Desert, Ag. Lands, Mountain",Southern Central Valley,9.4,11.1,1.7,9.2,0.2,9.8,0.4,9.0,0.4,0.39,5,6,5,6,5
Kings,"Ag. Lands, Grassland",Southern Central Valley,8.3,10.1,1.8,8.2,0.1,8.9,0.6,7.6,0.7,0.57,2,2,2,3,2
Lake,"Forest, Grassland",North Coast,42.1,49.1,7.0,43.0,0.9,45.0,2.9,43.5,1.4,1.87,2,4,3,3,3
Lassen,"Mountain, Forest, Grassland",North,18.2,18.6,0.4,19.2,1.0,20.3,2.1,20.8,2.6,0.7,2,3,3,3,3
Los Angeles,"Urban, Coastal, Mountain, Desert edges",South Coast,16.2,20.0,3.8,14.9,1.3,17.4,1.2,15.6,0.6,1.12,3,4,3,4,3
Madera,"Ag. Lands, Mountain",Northern Central Valley,25.8,30.0,4.2,26.4,0.6,27.3,1.5,24.2,1.6,1.2,2,3,2,3,1
Marin,"Coastal, Forest, Grassland",Bay Area,35.5,41.8,6.3,36.1,0.6,38.7,3.2,35.3,0.2,1.68,2,3,2,3,2
Mariposa,"Mountain, Forest",North Sierra,33.0,37.9,4.9,33.6,0.6,34.7,1.7,30.8,2.2,1.41,3,4,3,4,2
Mendocino,"Coastal, Forest",North,56.1,60.7,4.6,58.1,2.0,57.1,1.0,58.9,2.8,2.27,2,2,2,2,3
Merced,"Ag. Lands, Grassland",Northern Central Valley,12.1,14.5,2.4,12.1,0.0,12.7,0.6,11.2,0.9,0.64,2,3,3,3,2
Modoc,"Grassland, Forest",North,18.3,17.9,0.4,20.1,1.8,20.3,2.0,21.4,3.1,0.71,1,2,2,2,2
Mono,"Mountain, Desert edges",Southeast Sierra,21.3,25.0,3.7,22.3,1.0,23.8,2.5,22.6,1.3,0.77,4,6,3,4,4
Monterey,"Coastal, Ag. Lands, Grassland, Forest",Central Coast,20.2,25.0,4.8,20.6,0.4,21.7,1.5,19.2,1.0,1.06,2,4,3,4,3
Napa,"Ag. Lands (vineyards), Grassland",Bay Area,32.4,38.5,6.1,33.4,1.0,36.2,3.8,32.4,0.0,1.47,3,4,3,4,3
Nevada,"Forest, Mountain",North Sierra,53.6,56.3,2.7,56.4,2.8,55.5,1.9,56.1,2.5,2.29,2,2,1,3,2
Orange,"Urban, Coastal",South Coast,14.2,17.3,3.1,12.6,1.6,14.8,0.6,13.6,0.6,0.86,4,5,4,4,4
Placer,"Forest, Mountain, Urban edges",North Sierra,46.8,49.3,2.5,48.9,2.1,48.0,1.2,47.7,0.9,2.06,2,2,1,2,1
Plumas,"Forest, Mountain",North Sierra,45.9,48.3,2.4,48.0,2.1,49.0,3.1,49.6,3.7,2.09,2,2,2,3,2
Riverside,"Desert, Urban, Mountain edges",Desert,7.8,9.3,1.5,7.4,0.4,8.2,0.4,7.6,0.2,0.46,3,4,3,3,3
Sacramento,"Urban, Ag. Lands",Northern Central Valley,18.9,21.4,2.5,19.6,0.7,20.0,1.1,7.7,11.2,0.73,4,6,5,5,4
San Benito,"Ag. Lands, Grassland, Mountain",Central Coast,16.8,20.3,3.5,17.2,0.4,17.5,0.7,15.8,1.0,0.94,2,3,3,3,3
San Bernardino,"Desert, Mountain, Urban edges",Desert,6.7,7.7,1.0,6.7,0.0,7.4,0.7,6.9,0.2,0.45,2,3,2,3,2
San Diego,"Coastal, Desert, Urban, Mountain edges",South Coast,14.5,16.9,2.4,12.8,1.7,14.1,0.4,13.7,0.8,0.78,3,4,4,3,4
San Francisco,"Urban, Coastal",Bay Area,21.8,26.3,4.5,22.0,0.2,23.0,1.2,21.1,0.7,1,4,6,4,5,4
San Joaquin,"Ag. Lands, Urban",Northern Central Valley,14.2,16.3,2.1,14.4,0.2,14.9,0.7,13.0,1.2,0.55,4,4,2,5,4
San Luis Obispo,"Coastal, Ag. Lands, Grassland",Central Coast,16.9,20.5,3.6,16.6,0.3,18.3,1.4,16.1,0.8,1.05,2,2,2,3,2
San Mateo,"Coastal, Urban, Forest edges",Bay Area,27.5,34.0,6.5,28.0,0.5,30.1,2.6,26.7,0.8,1.47,2,3,2,3,1
Santa Barbara,"Coastal, Mountain, Ag. Lands",Central Coast,18.5,23.4,4.9,17.4,1.1,20.8,2.3,18.2,0.3,1.4,2,2,3,3,2
Santa Clara,"Urban, Grassland, Ag. Lands, Mountain edges",Bay Area,24.0,29.3,5.3,24.5,0.5,25.8,1.8,22.8,1.2,1.23,2,3,3,3,2
Santa Cruz,"Coastal, Forest",Central Coast,36.5,46.1,9.6,37.6,1.1,40.2,3.7,35.3,1.2,1.84,2,4,1,3,2
Shasta,"Forest, Mountain",North,49.3,51.4,2.1,51.2,1.9,50.7,1.4,53.4,4.1,2.01,1,1,1,2,2
Sierra,"Mountain, Forest",North Sierra,52.7,54.7,2.0,55.8,3.1,55.6,2.9,56.9,4.2,2.61,2,2,2,2,2
Siskiyou,"Mountain, Forest, Grassland",North,45.0,43.7,1.3,47.9,2.9,46.0,1.0,48.3,3.3,1.72,2,2,2,2,3
Solano,"Ag. Lands, Urban, Coastal edges",Bay Area,19.4,13.6,5.8,20.1,0.7,22.0,2.6,19.1,0.3,0.97,2,4,3,4,2
Sonoma,"Coastal, Ag. Lands (vineyards), Grassland",Bay Area,46.4,54.1,7.7,47.3,0.9,49.5,3.1,47.0,0.6,1.81,4,5,4,4,4
Stanislaus,"Ag. Lands, Grassland",Northern Central Valley,14.0,16.4,2.4,14.2,0.2,14.8,0.8,13.0,1.0,0.61,3,4,4,4,3
Sutter,"Ag. Lands, Grassland",Northern Central Valley,19.8,22.3,2.5,20.5,0.7,21.1,1.3,19.5,0.3,0.91,2,3,2,3,2
Tehama,"Grassland, Forest",Northern Central Valley,37.8,41.0,3.2,38.4,0.6,38.9,1.1,40.7,2.9,1.66,1,2,1,2,2
Trinity,"Mountain, Forest",North,61.0,62.4,1.4,63.7,2.7,61.5,0.5,64.5,3.5,2.73,1,1,1,2,2
Tulare,"Ag. Lands, Mountain, Grassland",Southern Central Valley,22.4,26.3,3.9,22.0,0.4,23.4,1.0,21.4,1.0,1.19,2,3,2,3,2
Tuolumne,"Mountain, Forest",North Sierra,43.2,48.0,4.8,44.6,1.4,44.9,1.7,41.9,1.3,1.75,3,4,2,4,2
Ventura,"Coastal, Ag. Lands, Mountain",South Coast,20.7,26.1,5.4,19.6,1.1,23.3,2.6,20.3,0.4,1.52,2,4,3,3,3
Yolo,"Ag. Lands, Grassland",Northern Central Valley,20.1,29.2,9.1,21.2,1.1,22.8,2.7,20.2,0.1,1.02,2,4,3,4,2
Yuba,"Forest, Grassland",Northern Central Valley,37.7,39.9,2.2,40.0,2.3,38.6,0.9,38.5,0.8,1.58,2,2,2,3,2